Region,Country,Framework Law,Long-term Strategy  (LTS) or 2050+ CC Plan,National Adaptation Plan (NAP),Coordination Mechanism,Local-Level Risk Assessments,Fiscal Risk Statements,Budget Guidelines,CC in Budget,Project Screening,SOE TFCD Framework Compliance,"Subnational Government CC Plans and Strategies 
",Environmental Criteria in Procurement Tenders
AFRW,Sierra Leone,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Partial
EAP,Singapore,No,Yes,No,Yes,Partial,Info not found,Yes,No,No,Yes,No,Yes
ECA,Slovak Republic,No,Yes,Yes,No,Yes,Info not found,Yes,No,Yes,No,Yes,Yes
ECA,Slovenia,Yes,Yes,No,No,Yes,Yes,Yes,Partial,Yes,Yes,Partial,Yes
AFRE,Somalia,No,No,No,Yes,Yes,Info not found,Yes,No,Info not found,No,Yes,Yes
AFRE,South Africa,Yes,Yes,Yes,Yes,Yes,No,Partial,Partial,Yes,Partial,Yes,Partial
AFRE,South Sudan,No,No,Yes,No,Yes,Info not found,Info not found,No,No,No,No,Partial
ECA,Spain,Yes,Yes,Yes,Yes,Yes,Info not found,Yes,Yes,Yes,Yes,Yes,Yes
SAR,Sri Lanka,No,Yes,Yes,Yes,Yes,Info not found,No,No,No,No,No,No
LAC,St. Kitts and Nevis,No,No,Yes,Partial,Yes,Info not found,Yes,No,No,No,No,No
LAC,St. Lucia,No,No,Yes,No,Yes,Info not found,No,No,No,No,No,Partial
LAC,St. Vincent and the Grenadines,No,No,Yes,Partial,Yes,Info not found,Yes,No,Yes,No,No,Partial
AFRE,Sudan,No,No,Yes,Partial,Yes,Info not found,Info not found,No,No,No,Yes,No
LAC,Suriname,No,No,Yes,No,No,Info not found,Info not found,No,No,No,No,No
ECA,Sweden,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes
ECA,Switzerland,Yes,Yes,Yes,Yes,Yes,Partial,Info not found,No,No,Yes,Yes,Partial
MNA,Syrian Arab Republic,No,No,No,No,No,Info not found,No,No,Info not found,No,No,No
EAP,Taiwan,Yes,No,Yes,Yes,No,No,Info not found,No,No,Yes,Partial,Yes
ECA,Tajikistan,No,No,Yes,Yes,No,No,No,No,No,No,No,No
AFRE,Tanzania,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Partial,No
EAP,Thailand,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Partial
AFRW,The Gambia,No,Yes,No,Yes,Info not found,Info not found,Yes,No,No,No,No,Partial
EAP,Timor-Leste,No,No,Yes,Yes,Info not found,Yes,Yes,Yes,No,No,No,No
AFRW,Togo,No,No,Yes,Yes,No,Yes,Yes,Partial,No,No,Partial,Partial
EAP,Tonga,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
LAC,Trinidad and Tobago,No,No,Yes,Yes,Yes,Info not found,Yes,No,No,No,No,Partial
MNA,Tunisia,No,Yes,No,Yes,No,No,Yes,No,No,No,Partial,Partial
ECA,Türkiye,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
EAP,Tuvalu,Yes,No,No,Yes,No,No,Info not found,No,Yes,No,No,No
AFRE,Uganda,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Partial
ECA,Ukraine,Yes,Yes,Yes,Partial,Yes,Partial,Yes,No,Yes,No,Partial,Partial
MNA,United Arab Emirates,No,Yes,No,Yes,Yes,Info not found,No,No,No,Yes,Yes,Partial
ECA,United Kingdom,Yes,Yes,Yes,Partial,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
,United States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
LAC,Uruguay,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
ECA,Uzbekistan,No,No,No,No,No,Info not found,Info not found,Yes,No,No,No,Partial
EAP,Vanuatu,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Partial
EAP,Viet Nam,Yes,No,Yes,Yes,No,Info not found,Info not found,No,No,No,Yes,Partial
MNA,West Bank and Gaza,No,No,Yes,Yes,No,No,Info not found,No,No,No,No,No
AFRE,Zambia,No,No,Yes,Yes,Info not found,Yes,Yes,No,No,No,No,Partial
AFRE,Zimbabwe,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Partial
